Palabra	Cantidad Review Pos	Cantidad Review Neg
fawn	1	2
nunnery	0	1
sonja	6	8
tilton	1	0
askew	5	3
woods	175	224
spiders	5	9
hanging	85	130
woody	125	113
trawling	1	0
comically	11	14
localized	0	2
disobeying	1	3
gad	0	1
canet	0	1
scola	16	2
bubi	0	1
scold	0	5
originality	56	109
hermann	21	3
fyodor	1	0
wracked	3	0
staffed	0	1
trojan	7	14
eugenics	0	6
appropriation	2	0
rawhide	11	0
taj	8	0
strictest	3	1
screaming	59	210
seamier	1	1
revelers	4	2
wooded	1	2
liaisons	5	2
grueling	8	5
sommerset	0	1
wooden	57	273
wednesday	8	5
ambushing	1	1
crotch	6	18
stereotypical	60	117
busybody	1	0
outsourced	3	1
rebuilding	3	2
francesco	2	3
scrapes	4	7
frederick	9	4
miniatures	3	7
francesca	6	3
consenting	3	2
scraped	3	9
snuggled	0	2
inanimate	6	9
errors	31	77
dialogs	60	82
reopens	1	0
cooking	34	19
fonzie	1	0
dialoge	1	3
joely	0	2
designing	1	1
hallucinating	5	5
succumb	5	7
shocks	31	15
crouch	0	8
chins	1	2
denominations	0	1
brainwashed	7	16
mcanally	15	0
ching	18	8
china	124	60
kurupt	0	6
affiliated	3	5
wiseguy	5	3
suntan	1	0
natured	44	17
kids	840	976
uplifting	63	16
climbed	7	7
controversy	28	23
kida	3	5
kidd	10	0
natures	12	0
spotty	5	6
climber	12	6
appropriately	49	28
cobblers	0	3
projection	21	10
lengthen	3	2
unsinkable	5	2
stern	36	16
dnd	0	2
dna	5	18
catchy	51	39
insecurity	5	4
trelkovsky	32	0
cannibal	10	74
prospector	1	4
music	1726	1304
therefore	161	170
renuka	2	0
distortions	4	7
sermons	1	3
pinpoints	2	0
populations	5	2
mesmerize	3	1
yahoo	18	10
astound	2	0
meteorologist	0	1
rickman	0	6
eggar	0	14
boorman	17	5
foregrounds	0	1
primeval	3	2
schoolboys	0	3
voicework	2	0
circumstances	118	96
intake	3	2
morally	34	36
locked	78	89
lupton	1	0
locker	15	16
gershon	1	13
phane	8	0
wana	0	1
wang	72	9
wand	4	0
wane	3	3
unjust	7	5
titanium	1	2
want	1549	2136
xtro	0	4
pinto	5	0
brewsters	0	1
absolute	154	198
tchaikovsky	10	4
travel	145	101
subtleness	0	2
copious	6	17
playback	5	3
dangerfield	0	23
cadence	6	1
barbra	32	26
uselessness	3	1
assimilated	5	0
highsmith	2	3
dinosaurs	23	88
modest	37	24
cerebrally	2	1
sentencing	1	2
assimilates	2	0
opted	8	13
glenne	4	1
subplots	46	40
sickening	12	42
tulip	14	0
concoction	8	12
chandon	0	8
nonsensical	15	67
romper	0	3
dolemite	10	6
snugly	5	0
welcomed	20	15
listlessness	0	1
stoicism	4	3
whizzing	1	1
partnered	3	2
sidekicks	10	12
rewarded	28	16
sentry	2	1
activating	1	1
welcomes	9	3
wickedly	21	4
fit	259	229
lifeline	2	0
bringing	126	90
fix	42	56
uriah	10	2
fig	1	3
wales	7	11
fin	0	3
fil	1	0
fim	1	0
zucker	12	9
songwriter	11	8
twits	1	2
basics	20	8
effects	852	1343
multidimensional	3	1
sixteen	18	25
undeveloped	7	27
saddened	10	4
defecate	0	1
whacking	2	3
bartok	2	0
barton	12	27
frewer	0	11
arrow	30	22
ingrid	42	20
stribor	1	3
burial	20	25
telescope	10	2
knoller	6	0
allah	10	3
allan	21	18
parasites	10	2
novices	3	2
golem	6	8
touts	1	0
oprah	16	27
smirk	5	15
indiscretion	1	1
persisted	0	1
mason	19	43
encourage	34	41
adapt	24	19
esoterics	2	1
zenda	2	3
outburst	7	6
abbott	19	11
stamping	2	2
breen	1	0
underfoot	1	1
strata	5	3
nimbly	1	0
pumpkins	1	2
corrects	2	0
estimate	2	2
gameplay	19	6
universally	18	14
jugs	1	2
husbands	48	31
competes	3	4
sickeningly	4	10
chiara	2	0
atlantians	0	6
disturbed	51	55
competed	1	1
dentures	0	5
