Palabra	Cantidad Review Pos	Cantidad Review Neg
limited	164	139
suicidal	6	15
pardon	12	12
desirable	10	8
protest	26	24
controversial	92	59
hating	18	30
hate	342	435
aggression	14	15
infuriates	1	0
regretted	5	10
violate	1	3
granting	1	3
collisions	0	2
poorest	6	20
scold	0	5
condemns	2	3
sorry	199	551
worth	1198	1046
rescue	101	128
lurk	5	3
misunderstanding	12	10
distort	3	2
loom	4	1
gratification	9	5
misunderstands	1	1
stabbed	10	41
screaming	59	210
courageous	27	14
disturb	14	10
exaggerate	7	6
harried	9	4
solution	47	41
nigger	0	1
pardons	1	0
quaking	0	2
monopolized	1	0
illiteracy	5	5
triumph	84	30
enjoy	1031	641
tired	140	238
warns	29	22
elegant	75	18
fabulous	133	43
rigorous	5	1
emptiness	11	16
loathing	14	20
errors	31	77
hide	97	112
wreck	36	87
solemn	3	6
saved	94	181
beaten	55	69
poison	43	35
endorse	9	6
shocks	31	15
unmotivated	3	16
hero	501	547
screams	48	69
shattered	16	12
interrupting	6	6
active	48	27
kudos	90	36
rigorously	3	0
vulnerability	33	3
oxymoron	3	2
chilling	135	33
stressed	16	8
lonesome	6	2
unwanted	11	12
postponed	1	1
criticism	112	59
fantastic	645	142
secure	18	23
dehumanize	2	0
cheats	12	15
sparkling	18	4
drowned	15	32
cherishing	3	0
criminals	95	78
appeasing	0	4
motivate	4	8
negative	186	165
insult	26	184
calm	57	29
recommend	928	633
strike	58	73
supporters	25	9
successful	311	211
naive	125	93
haha	10	20
award	274	138
hurt	176	200
warn	40	100
disruption	2	1
warm	165	61
frenzy	21	14
excellent	1658	386
blocking	8	11
shoot	151	309
disappointing	90	307
join	94	73
somber	24	7
refusing	18	9
worn	41	47
regrets	20	14
dizzy	13	6
criticizing	12	13
elegantly	12	5
defer	0	1
pollute	1	5
joyous	26	4
unjust	7	5
laughs	284	352
want	1549	2136
indifferent	22	30
attract	17	52
loathe	7	10
farce	50	68
nuts	38	48
damage	37	68
amazing	1044	261
