Palabra	Frecuencia
movie	132180
film	121205
one	81317
like	60966
good	44859
time	37830
even	37488
would	37100
story	35559
really	34920
see	34645
well	32011
much	29156
bad	28355
get	27915
people	27876
also	27500
great	27436
first	27135
made	24635
make	24510
way	24077
could	23932
movies	23122
characters	21836
character	21375
think	21293
films	21156
two	20933
watch	20730
many	20016
plot	19934
seen	19610
never	19535
love	19456
life	19425
little	19254
acting	19146
best	19058
know	18457
show	18083
ever	17920
man	17599
better	17522
end	16831
scene	16546
still	16336
scenes	15891
say	15684
something	15381
go	15299
ve	15251
m	15212
back	14921
real	14484
re	13665
watching	13628
doesn	13623
thing	13544
though	13477
director	13413
years	13369
actors	13265
funny	13206
old	13181
didn	13165
another	13132
new	13025
nothing	12893
makes	12814
work	12804
actually	12779
going	12766
look	12565
find	12456
lot	12244
part	12166
every	12082
world	11628
cast	11491
us	11266
things	11178
horror	11131
quite	11111
want	11063
action	11047
pretty	10927
young	10920
around	10861
seems	10857
fact	10776
take	10584
however	10577
enough	10550
got	10506
long	10498
thought	10395
big	10252
give	10215
d	10106
comedy	10077
series	10037
must	9962
may	9927
right	9901
original	9783
without	9721
role	9643
interesting	9527
come	9521
times	9519
always	9518
isn	9515
guy	9444
saw	9443
whole	9414
gets	9383
least	9351
point	9344
almost	9313
bit	9254
script	9145
music	9134
done	9125
last	9038
minutes	8935
far	8901
family	8892
feel	8891
since	8774
making	8732
ll	8728
girl	8715
might	8701
performance	8660
anything	8615
yet	8562
away	8489
probably	8457
woman	8263
tv	8243
kind	8237
hard	8197
fun	8109
rather	8096
day	8082
worst	7992
sure	7923
played	7849
anyone	7832
found	7816
especially	7707
trying	7642
screen	7598
looking	7542
believe	7498
different	7425
although	7419
place	7378
course	7356
sense	7308
goes	7306
set	7296
comes	7281
ending	7233
maybe	7154
shows	7135
worth	7130
american	7123
three	7104
dvd	7050
money	7048
put	7033
looks	7025
everything	6993
actor	6991
someone	6904
let	6891
plays	6877
effects	6864
main	6862
john	6856
wasn	6843
year	6831
together	6820
reason	6781
book	6771
true	6733
everyone	6723
instead	6692
takes	6640
said	6633
job	6618
high	6563
play	6561
special	6556
war	6521
seem	6520
night	6515
watched	6511
audience	6474
later	6473
wife	6392
star	6260
black	6252
half	6221
seeing	6200
left	6167
death	6126
idea	6120
excellent	6102
beautiful	6099
shot	6058
house	6033
second	6028
simply	5984
father	5983
used	5972
men	5967
dead	5957
else	5948
mind	5847
version	5823
less	5818
completely	5788
hollywood	5753
nice	5748
poor	5727
fan	5720
budget	5716
women	5678
help	5647
home	5641
line	5627
sex	5604
