"id","sentiment"
"12311_10",0.576723
"8348_2",0.429095
"5828_4",0.524123
"7186_2",0.528078
"12128_7",0.571709
"2913_8",0.558924
"4396_1",0.441313
"395_2",0.512259
"10616_1",0.313465
"9074_9",0.518587
"9252_3",0.409175
"9896_9",0.550224
"574_4",0.441855
"11182_8",0.587746
"11656_4",0.544688
"2322_4",0.521751
"8703_1",0.508568
"7483_1",0.448302
"6007_10",0.563228
"12424_4",0.425784
"4672_1",0.42283
"10841_3",0.409482
"8954_7",0.443962
"7392_1",0.460058
"10288_8",0.559849
"5343_4",0.417757
"4950_1",0.348252
"9257_4",0.533351
"8689_3",0.423255
"4480_2",0.457158
"9286_10",0.598734
"12245_10",0.608644
"7529_7",0.551279
"4_4",0.455576
"5299_2",0.443457
"12077_8",0.543633
"10701_2",0.397036
"11579_1",0.369756
"10993_1",0.434266
"8913_1",0.43783
"1350_3",0.493541
"3804_2",0.393916
"5025_3",0.527814
"5170_8",0.540206
"8225_8",0.567394
"6427_7",0.556367
"3165_3",0.517005
"7902_9",0.574724
"8208_3",0.400438
"3577_8",0.551063
"4865_1",0.418712
"9063_3",0.499341
"1106_1",0.53836
"1117_9",0.561572
"1050_4",0.481413
"10755_9",0.556288
"2729_8",0.568416
"10072_10",0.58318
"2904_7",0.578971
"4584_2",0.531242
"189_4",0.520432
"6302_4",0.491959
"8138_9",0.553915
"1262_1",0.506723
"2199_10",0.551318
"6551_7",0.568416
"8082_7",0.495386
"4897_8",0.569032
"7360_1",0.445308
"11012_10",0.579496
"12046_1",0.491432
"2331_2",0.510414
"8961_9",0.557922
"751_7",0.567625
"9884_10",0.538887
"10016_8",0.547324
"8023_10",0.585025
"2628_1",0.403544
"5832_1",0.438041
"7302_1",0.41779
"4501_3",0.465331
"1121_7",0.604535
"8334_3",0.539151
"9789_10",0.533351
"4230_10",0.555089
"824_4",0.468231
"6803_9",0.560728
"3086_7",0.587495
"1135_8",0.576061
"10136_1",0.396464
"11129_3",0.422557
"2072_8",0.499605
"9501_7",0.567874
"319_10",0.605589
"1693_7",0.570751
"10886_1",0.412053
"9406_8",0.558133
"10376_10",0.447511
"9902_1",0.41052
"9938_8",0.50435
"7080_9",0.556925
"11944_8",0.547588
"5249_1",0.402759
"9599_2",0.502505
"9620_1",0.449567
"11244_1",0.391247
"6841_10",0.593939
"10050_4",0.56375
"10512_9",0.580071
"11327_3",0.412665
"10681_8",0.609017
"808_3",0.486422
"546_7",0.584413
"10765_1",0.397525
"7189_9",0.533615
"6005_9",0.619562
"11915_9",0.55787
"5740_10",0.562615
"7097_10",0.465858
"9573_10",0.539678
"5084_4",0.50725
"12332_7",0.564197
"8154_1",0.386952
"5610_1",0.492486
"5323_9",0.564988
"11034_8",0.566834
"3977_2",0.514632
"12380_7",0.483259
"1737_8",0.590298
"6030_9",0.544951
"5918_7",0.571316
"7061_9",0.522805
"266_8",0.557985
"1375_10",0.610335
"8648_3",0.446606
"10146_10",0.582022
"4578_10",0.550275
"4685_8",0.591616
"11843_9",0.530978
