"id","sentiment"
"12311_10",0.593756
"10616_1",0.30875
"10841_3",0.382324
"5343_4",0.406299
"4950_1",0.370621
"12245_10",0.627934
"10701_2",0.40343
"11579_1",0.37495
"7902_9",0.600668
"8208_3",0.403048
"2904_7",0.597808
"3086_7",0.612562
"10136_1",0.399717
"9902_1",0.397806
"6841_10",0.599503
"10512_9",0.598633
"546_7",0.595631
"8154_1",0.397097
"5467_10",0.593674
"4847_10",0.654735
"4125_1",0.399082
"2394_10",0.60978
"7696_10",0.597213
"9355_10",0.592398
"9882_10",0.627223
"6733_1",0.395567
"4552_1",0.407041
"10313_1",0.397571
"2006_1",0.402746
"1472_1",0.397561
"10434_1",0.404769
"7833_3",0.40762
"6396_4",0.61612
"11690_1",0.378381
"7701_1",0.380522
"8876_1",0.405144
"5707_10",0.618899
"6289_1",0.347158
"242_10",0.599247
"10116_1",0.397776
"9966_10",0.615161
"12187_8",0.592669
"5980_10",0.611626
"3595_10",0.591635
"3831_9",0.598383
"1067_1",0.409894
"948_1",0.38203
"11967_4",0.383539
"1185_10",0.598837
"11706_2",0.384299
"5602_10",0.597934
"7561_10",0.608758
"7874_1",0.384783
"9993_10",0.592098
"8077_1",0.402676
"12490_10",0.599989
"2311_4",0.391491
"5238_2",0.35511
"819_1",0.293034
"6423_1",0.409188
"8496_10",0.603362
"12042_1",0.405806
"7244_1",0.375191
"6854_1",0.262032
"6920_1",0.361689
"10845_1",0.37432
"5460_10",0.592838
"10330_2",0.389331
"11_3",0.590398
"1761_10",0.592009
"8190_9",0.604374
"9533_10",0.598962
"237_8",0.59444
"248_2",0.38559
"1218_1",0.397509
"3080_1",0.409336
"1753_7",0.590733
"773_8",0.620144
"12025_1",0.404281
"9745_1",0.35752
"1866_1",0.391491
"8752_9",0.639229
"11343_8",0.600793
"5547_8",0.593878
"1633_1",0.393443
"8980_3",0.61483
"1846_8",0.609422
"2634_1",0.362832
"1451_1",0.409614
"2903_7",0.618273
"4210_1",0.398417
"9906_9",0.605496
"10654_8",0.599116
"11318_1",0.386385
"4495_7",0.590204
"6714_4",0.376152
"8520_1",0.333991
"681_7",0.604244
"11823_1",0.400322
"785_2",0.400984
"6912_7",0.590276
"4393_3",0.408214
"12370_1",0.406566
"1000_9",0.615739
"779_8",0.590658
"3730_1",0.353857
"4685_2",0.39902
"11304_1",0.384076
"8861_3",0.403547
"4781_1",0.391043
"8802_1",0.405659
"7302_10",0.594223
"7737_10",0.590739
"2139_1",0.392655
"5689_1",0.408411
"10088_1",0.376397
"9258_9",0.630802
"4770_10",0.625744
"9414_1",0.40442
"8932_1",0.384946
"3409_10",0.596432
"9444_10",0.606315
"6275_1",0.388096
"1957_1",0.40024
"9265_9",0.604527
"5897_10",0.645923
"1536_3",0.39246
"570_1",0.367692
"5845_10",0.593676
"1240_1",0.391865
"231_1",0.358412
"3536_1",0.396007
"5907_7",0.599136
"3403_10",0.591263
"7809_10",0.620313
"768_10",0.61601
"12018_10",0.598211
"3662_1",0.407165
"2071_10",0.604923
"4044_2",0.367776
"2707_3",0.3807
"657_10",0.648957
"9998_1",0.403981
"7783_1",0.409704
"8112_1",0.358018
"12148_1",0.401428
"4047_2",0.37565
"5983_10",0.598216
"12273_1",0.407419
"60_1",0.386171
"7406_8",0.595674
"11099_10",0.681309
"5676_1",0.296774
"10821_8",0.630512
"11072_2",0.376152
"4194_1",0.405975
"4878_1",0.39508
"9056_10",0.609973
"6401_1",0.34244
"7314_10",0.645692
"8403_7",0.59827
"2090_1",0.402127
"10847_10",0.593111
"5020_2",0.359309
"290_9",0.594678
"10384_7",0.594224
"2253_10",0.592974
"4689_1",0.36486
"8905_2",0.401682
"6081_10",0.608051
"6083_10",0.591345
"5440_1",0.408516
"7630_1",0.329688
"4322_3",0.4088
"9261_10",0.640525
"3772_1",0.404671
"5366_10",0.61299
"4032_2",0.406247
"10483_8",0.630434
"4252_1",0.396639
"250_10",0.609151
"10308_1",0.360777
"8240_10",0.601394
"5025_8",0.59111
"10206_8",0.604008
"1931_10",0.611727
"5092_9",0.601116
"9517_10",0.599372
"8566_2",0.360467
"4392_2",0.40038
"911_10",0.625578
"4199_1",0.381772
"2003_1",0.406078
"4059_1",0.382417
"6256_2",0.40209
"7991_1",0.391442
"84_3",0.394652
"2901_7",0.605792
"4588_1",0.396703
"6020_9",0.594205
"10702_10",0.608693
"2384_8",0.601524
"7815_1",0.397457
"57_10",0.614611
"3713_10",0.620483
"1411_10",0.599225
"8207_1",0.409748
"10877_10",0.600514
"2839_1",0.324585
"9419_1",0.386958
"11073_3",0.388374
"7708_10",0.621601
"901_1",0.329549
"386_1",0.402663
"11360_10",0.638795
"10299_1",0.373059
"11370_10",0.64243
"6227_4",0.401537
"4180_1",0.409267
"1534_4",0.355205
"7779_3",0.406265
"12409_10",0.60146
"871_1",0.402933
"867_9",0.601147
"11357_1",0.389459
"12233_10",0.59078
"9427_7",0.600487
"2990_1",0.402132
"1781_1",0.397525
"1408_10",0.60665
"19_1",0.397441
"132_1",0.39896
"11228_10",0.598309
"2725_10",0.634107
"875_10",0.629263
"8819_3",0.385666
"11153_2",0.384446
"8259_2",0.369291
"1904_2",0.363632
"5566_3",0.403909
"9210_1",0.385395
"10891_1",0.321239
"290_1",0.377112
"2312_10",0.629526
"6991_2",0.407618
"2399_10",0.599335
"8743_10",0.618707
"3623_10",0.590041
"3119_9",0.597842
"11019_2",0.378291
"6856_2",0.398443
"4822_8",0.384108
"8090_1",0.335132
"10022_4",0.407785
"6717_1",0.406814
"6173_1",0.394359
"7563_9",0.689326
"4666_1",0.355267
"11410_7",0.396208
"10893_8",0.609215
"2164_4",0.591216
"10834_10",0.596012
"4031_1",0.377859
"442_10",0.638595
"11837_9",0.596734
"10948_1",0.369446
"3011_7",0.605463
"12312_1",0.372414
"11109_1",0.401869
"11907_9",0.605661
"9217_1",0.358758
"1719_2",0.406895
"1430_10",0.592262
"11548_10",0.610693
"12032_1",0.388391
"64_3",0.389066
"192_10",0.60281
"2113_7",0.598296
"5294_10",0.591223
"3706_1",0.3759
"6151_10",0.668398
"10318_8",0.593265
"805_1",0.393944
"10934_3",0.319388
"8197_3",0.407095
"10481_9",0.59172
"26_10",0.637298
"10052_7",0.620165
"4391_1",0.408188
"4703_10",0.61438
"10811_9",0.608226
"2095_9",0.593435
"8657_1",0.392936
"68_9",0.618654
"5922_1",0.404346
"2582_2",0.377294
"5540_7",0.612731
"4038_2",0.38782
"12095_3",0.391646
"7172_9",0.593713
"8450_1",0.335548
"1966_1",0.337314
"8025_1",0.397297
"12316_1",0.385062
"5092_1",0.383047
"3949_2",0.380198
"3615_1",0.3094
"7347_9",0.592524
"8309_4",0.404851
"1439_1",0.40837
"4399_1",0.391637
"12076_10",0.604241
"5280_4",0.404193
"8521_1",0.405368
"9751_1",0.380638
"935_10",0.593203
"4717_1",0.375007
"6947_1",0.39603
"9538_10",0.403414
"11300_1",0.401733
"6021_10",0.654403
"4860_10",0.596888
"6117_10",0.634705
"9158_10",0.594077
"9898_10",0.609112
"7592_9",0.590895
"774_8",0.590618
"4056_8",0.608397
"5544_8",0.599073
"10956_4",0.399977
"8804_10",0.60107
"9366_1",0.37041
"10834_2",0.332626
"11742_9",0.600272
"10614_9",0.614623
"12442_1",0.350625
"9357_8",0.618569
"2818_2",0.377329
"7911_2",0.377809
"7687_10",0.605269
"11822_1",0.399365
"7820_1",0.330956
"92_1",0.404614
"5533_7",0.633587
"1956_2",0.400134
"8755_9",0.60546
"5032_8",0.599144
"3367_1",0.362948
"12042_9",0.604622
"2641_3",0.400508
"5303_1",0.374812
"8743_1",0.287855
"5514_3",0.403923
"8244_10",0.590118
"11044_7",0.59748
"5345_2",0.319168
"3628_1",0.371693
"11062_2",0.388644
"10365_7",0.616533
"7071_1",0.399772
"5132_1",0.360816
"5334_1",0.384053
"2455_8",0.602969
"6789_10",0.594037
"2638_1",0.365369
"7674_9",0.592519
"5575_1",0.390009
"4033_8",0.59214
"3935_4",0.602647
"5465_10",0.59022
"9527_7",0.596511
"6615_1",0.35718
"7256_10",0.61902
"10132_10",0.598559
"3226_10",0.614244
"1271_9",0.592214
"6327_2",0.406173
"8564_1",0.392407
"10296_8",0.601594
"11672_8",0.595514
"10184_9",0.591046
"7552_8",0.594684
"1509_2",0.378436
"11137_1",0.344674
"10987_1",0.379957
"4184_1",0.392762
"10704_1",0.375944
"1770_10",0.659082
"4475_10",0.6238
"6604_7",0.610113
"3197_1",0.384972
"6051_2",0.404308
"2220_1",0.379163
"8594_10",0.606757
"2206_10",0.593284
"10445_1",0.373486
"3855_10",0.625811
"12446_1",0.390346
"1406_10",0.604568
"12096_1",0.384066
"11686_2",0.367548
"4387_9",0.610421
"8001_1",0.346319
"9202_2",0.343858
"8436_10",0.608911
"2656_1",0.371457
"5439_1",0.388967
"12298_2",0.281562
"11377_10",0.635425
"12096_10",0.591064
"1959_1",0.362948
"10183_9",0.594828
"4408_1",0.386439
"7835_1",0.330331
"1476_8",0.621244
"602_10",0.603532
"9778_1",0.402814
"10051_2",0.370137
"2906_1",0.392898
"123_10",0.604054
"10790_1",0.405908
"2324_9",0.60857
"12001_3",0.40241
"7083_9",0.622635
"11039_8",0.594004
"10985_9",0.594311
"2054_1",0.333243
"10305_10",0.624149
"10637_9",0.596578
"8485_1",0.395319
"8476_8",0.603145
"4640_10",0.638426
"10576_1",0.393629
"2803_1",0.394935
"2203_10",0.623201
"4638_10",0.620744
"10045_1",0.403975
"5922_8",0.614483
"1412_7",0.606877
"77_10",0.606213
"2969_2",0.365568
"6729_8",0.592576
"6307_4",0.594836
"8767_1",0.384449
"5413_10",0.59611
"4379_10",0.619227
"10792_8",0.597457
"2517_1",0.600683
"2946_8",0.590731
"5556_10",0.593704
"8652_1",0.350258
"1723_3",0.401313
"12464_1",0.343795
"6288_10",0.367951
"12462_1",0.397207
"8370_8",0.604373
"2175_1",0.39373
"8139_10",0.606378
"8339_8",0.614205
"3104_1",0.40089
"12103_2",0.374373
"3069_1",0.393532
"7636_8",0.591299
"3674_8",0.628723
"2516_1",0.596374
"11758_1",0.380236
"5081_10",0.595207
"6523_3",0.358482
"8790_1",0.367745
"3884_10",0.634588
"1484_10",0.601183
"755_1",0.404409
"2780_4",0.408553
"9212_10",0.603134
"10349_8",0.591133
"1626_3",0.398963
"4373_2",0.397604
"10492_1",0.37942
"704_2",0.36481
"11563_1",0.371471
"2608_7",0.59295
"12396_1",0.354427
"5999_1",0.388338
"4877_1",0.402116
"2289_8",0.599572
"3725_1",0.398844
"2007_10",0.592717
"6647_10",0.59525
"5182_3",0.390572
"3970_3",0.403915
"2169_2",0.388927
"866_2",0.34414
"5877_10",0.606522
"4722_8",0.59746
"7385_2",0.351339
"3043_4",0.376545
"63_1",0.313703
"6703_1",0.403163
"4999_3",0.400346
"10162_10",0.596241
"6427_1",0.389114
"9551_2",0.346588
"4711_1",0.362725
"3903_1",0.392689
"6035_8",0.641533
"2987_1",0.316339
"3108_1",0.407546
"4371_1",0.360799
"3445_10",0.592312
"4744_1",0.383845
"4449_1",0.376423
"1867_9",0.604736
"2126_1",0.386377
"8046_1",0.39118
"2821_10",0.596569
"5625_9",0.600285
"802_1",0.345294
"12463_1",0.386232
"2663_1",0.39968
"10457_8",0.612578
"8404_1",0.345662
"4197_1",0.409982
"11170_10",0.59907
"6623_1",0.40702
"2849_3",0.38837
"2015_1",0.37721
"5239_8",0.597233
"38_8",0.593093
"5359_3",0.394016
"10125_8",0.6482
"6642_2",0.406225
"4527_1",0.396294
"10106_1",0.409784
"5183_1",0.323057
"5908_10",0.592376
"8481_1",0.36381
"1771_10",0.617943
"5255_1",0.386762
"8936_1",0.39039
"10457_1",0.388253
"8074_4",0.590809
"11127_7",0.603047
"12166_2",0.365875
"73_4",0.383978
"1504_1",0.407629
"4332_2",0.334165
"11704_2",0.394825
"3534_3",0.352948
"180_10",0.625155
"2341_10",0.600579
"10563_2",0.379339
"11147_10",0.608471
"1769_10",0.642398
"11130_1",0.340635
"9113_1",0.397526
"2048_4",0.404971
"11498_9",0.590255
"1861_1",0.392672
