"id","sentiment"
"0_10",0.511383
"0_2",0.425756
"10000_4",0.430513
"10000_7",0.525654
"10001_1",0.375467
"10001_9",0.447842
"10002_3",0.480802
"10002_8",0.498811
"10003_3",0.512063
"10003_8",0.549439
"10004_2",0.389399
"10004_9",0.508325
"10005_2",0.400612
"10005_8",0.493714
"10006_2",0.360177
"10006_7",0.457696
"10007_10",0.492695
"10007_4",0.411485
"10008_4",0.420319
"10008_8",0.58036
"10009_10",0.478763
"10009_3",0.389399
"1000_3",0.397554
"1000_9",0.488277
"10010_2",0.421679
"10010_9",0.535848
"10011_1",0.374448
"10011_9",0.494733
"10012_1",0.309888
"10012_9",0.428474
"10013_4",0.427455
"10013_9",0.480462
"10014_2",0.478763
"10014_7",0.440367
"10015_4",0.470948
"10015_8",0.383962
"10016_3",0.455318
"10016_8",0.476724
"10017_1",0.420319
"10017_8",0.429154
"10018_1",0.443085
"10018_8",0.465511
"10019_1",0.374108
"10019_8",0.59667
"1001_10",0.550799
"1001_4",0.417601
"10020_1",0.37071
"10020_8",0.449201
"10021_3",0.445124
"10021_9",0.474006
"10022_10",0.510024
"10022_4",0.376147
"10023_4",0.459395
"10023_8",0.492355
"10024_3",0.307509
"10024_9",0.43561
"10025_2",0.305131
"10025_8",0.553517
"10026_10",0.708121
"10026_3",0.416242
"10027_1",0.404689
"10027_8",0.519538
"10028_10",0.540945
"10028_3",0.411825
"10029_1",0.332994
"10029_10",0.570166
"1002_3",0.388379
"1002_9",0.488277
"10030_3",0.439687
"10030_7",0.437649
"10031_2",0.395175
"10031_8",0.537887
"10032_1",0.362555
"10032_8",0.509004
"10033_1",0.389399
"10033_8",0.493034
"10034_1",0.385321
"10034_9",0.556575
"10035_1",0.376487
"10035_10",0.471288
"10036_1",0.32212
"10036_10",0.48318
"10037_1",0.408767
"10037_7",0.53245
"10038_4",0.374108
"10038_7",0.45226
"10039_1",0.324159
"10039_8",0.458036
"1003_4",0.479443
"1003_8",0.459735
"10040_10",0.504587
"10040_2",0.404689
"10041_1",0.166837
"10041_8",0.494733
"10042_1",0.424057
"10042_8",0.531091
"10043_1",0.416922
"10043_10",0.557594
"10044_2",0.380564
"10044_8",0.491675
"10045_1",0.3877
"10045_7",0.527013
"10046_10",0.423717
"10046_4",0.455318
"10047_1",0.348624
"10047_10",0.586476
"10048_1",0.357119
"10048_8",0.514781
"10049_1",0.372409
"10049_8",0.490996
"1004_10",0.623174
"1004_4",0.468909
"10050_4",0.407068
"10050_8",0.518858
"10051_2",0.424057
"10051_8",0.488957
"10052_4",0.277608
"10052_7",0.526673
"10053_10",0.487598
"10053_4",0.503908
"10054_3",0.422698
"10054_7",0.512402
"10055_1",0.381244
"10055_10",0.455657
"10056_1",0.442066
"10056_8",0.505607
"10057_1",0.368671
"10057_8",0.463473
"10058_2",0.465172
"10058_8",0.471967
"10059_1",0.401631
"10059_10",0.474006
"1005_2",0.398233
"1005_7",0.432892
"10060_10",0.474686
"10060_3",0.378186
"10061_10",0.49983
"10061_4",0.379545
"10062_4",0.359837
"10062_9",0.459395
"10063_1",0.405369
"10063_10",0.498811
"10064_10",0.478423
"10064_2",0.437649
"10065_1",0.341828
"10065_8",0.54808
"10066_1",0.449201
"10066_7",0.408087
"10067_4",0.30683
"10067_7",0.51546
"10068_3",0.413524
"10068_8",0.494733
"10069_10",0.525994
"10069_3",0.422698
"1006_3",0.388039
"1006_8",0.40265
"10070_10",0.472647
"10070_3",0.436969
"10071_2",0.448522
"10071_8",0.517159
"10072_1",0.375467
"10072_10",0.501869
"10073_3",0.389399
"10073_7",0.396874
"10074_3",0.428135
"10074_7",0.459055
"10075_10",0.51682
"10075_3",0.372749
"10076_10",0.466871
"10076_3",0.378525
"10077_3",0.388379
"10077_7",0.448862
"10078_10",0.480462
"10078_3",0.432552
"10079_1",0.362215
"10079_10",0.457696
"1007_4",0.397214
"1007_9",0.50017
"10080_1",0.394156
"10080_10",0.502888
"10081_1",0.440367
"10081_10",0.444444
"10082_1",0.365613
"10082_8",0.517499
"10083_10",0.46721
"10083_2",0.431872
"10084_10",0.494054
"10084_3",0.413184
"10085_10",0.460415
"10085_2",0.400612
"10086_1",0.45124
"10086_10",0.422698
"10087_1",0.374788
"10087_7",0.443085
"10088_1",0.393816
"10088_8",0.454298
"10089_1",0.420319
"10089_9",0.570506
"1008_10",0.416582
"1008_2",0.437988
"10090_10",0.541964
"10090_3",0.404349
"10091_1",0.414543
"10091_10",0.427115
"10092_4",0.353721
"10092_8",0.442406
"10093_1",0.389738
"10093_10",0.485559
"10094_4",0.420319
"10094_9",0.560992
"10095_3",0.398233
