"id","sentiment"
"0_10",0.515853
"0_2",0.464553
"10000_4",0.454578
"10000_7",0.554685
"10001_1",0.390452
"10001_9",0.468472
"10002_3",0.504809
"10002_8",0.524047
"10003_3",0.548272
"10003_8",0.561454
"10004_2",0.400784
"10004_9",0.524403
"10005_2",0.417528
"10005_8",0.523335
"10006_2",0.391165
"10006_7",0.465265
"10007_10",0.508016
"10007_4",0.42964
"10008_4",0.451728
"10008_8",0.636623
"10009_10",0.516566
"10009_3",0.417171
"1000_3",0.427859
"1000_9",0.508728
"10010_2",0.449234
"10010_9",0.553616
"10011_1",0.396865
"10011_9",0.519772
"10012_1",0.329533
"10012_9",0.446028
"10013_4",0.44389
"10013_9",0.486641
"10014_2",0.501247
"10014_7",0.460278
"10015_4",0.474528
"10015_8",0.422515
"10016_3",0.443178
"10016_8",0.506947
"10017_1",0.431778
"10017_8",0.446384
"10018_1",0.470253
"10018_8",0.504809
"10019_1",0.409334
"10019_8",0.609191
"1001_10",0.586391
"1001_4",0.47239
"10020_1",0.424296
"10020_8",0.472747
"10021_3",0.489134
"10021_9",0.492697
"10022_10",0.53046
"10022_4",0.391165
"10023_4",0.489134
"10023_8",0.493053
"10024_3",0.365159
"10024_9",0.460278
"10025_2",0.346633
"10025_8",0.569647
"10026_10",0.746348
"10026_3",0.443178
"10027_1",0.431421
"10027_8",0.554685
"10028_10",0.574991
"10028_3",0.437478
"10029_1",0.36979
"10029_10",0.632348
"1002_3",0.408978
"1002_9",0.508728
"10030_3",0.46384
"10030_7",0.46384
"10031_2",0.406484
"10031_8",0.568935
"10032_1",0.397221
"10032_8",0.526185
"10033_1",0.414678
"10033_8",0.521553
"10034_1",0.415746
"10034_9",0.638048
"10035_1",0.398646
"10035_10",0.495547
"10036_1",0.353402
"10036_10",0.499822
"10037_1",0.416459
"10037_7",0.560385
"10038_4",0.408265
"10038_7",0.500534
"10039_1",0.381902
"10039_8",0.482366
"1003_4",0.489491
"1003_8",0.476665
"10040_10",0.526897
"10040_2",0.443178
"10041_1",0.222658
"10041_8",0.524047
"10042_1",0.437121
"10042_8",0.542572
"10043_1",0.442109
"10043_10",0.589597
"10044_2",0.397577
"10044_8",0.496972
"10045_1",0.411828
"10045_7",0.556466
"10046_10",0.449234
"10046_4",0.497684
"10047_1",0.390809
"10047_10",0.608123
"10048_1",0.396152
"10048_8",0.535091
"10049_1",0.387246
"10049_8",0.546847
"1004_10",0.617741
"1004_4",0.490559
"10050_4",0.443178
"10050_8",0.537941
"10051_2",0.44959
"10051_8",0.54756
"10052_4",0.280727
"10052_7",0.552191
"10053_10",0.506591
"10053_4",0.522622
"10054_3",0.44674
"10054_7",0.540078
"10055_1",0.405415
"10055_10",0.462059
"10056_1",0.464197
"10056_8",0.520841
"10057_1",0.390809
"10057_8",0.494478
"10058_2",0.461703
"10058_8",0.493053
"10059_1",0.426078
"10059_10",0.492697
"1005_2",0.414321
"1005_7",0.467047
"10060_10",0.495547
"10060_3",0.40684
"10061_10",0.512291
"10061_4",0.404703
"10062_4",0.384752
"10062_9",0.461347
"10063_1",0.42109
"10063_10",0.515853
"10064_10",0.507659
"10064_2",0.457072
"10065_1",0.361952
"10065_8",0.576772
"10066_1",0.464197
"10066_7",0.420734
"10067_4",0.341646
"10067_7",0.532953
"10068_3",0.437121
"10068_8",0.519416
"10069_10",0.54756
"10069_3",0.457072
"1006_3",0.417171
"1006_8",0.437121
"10070_10",0.490559
"10070_3",0.44389
"10071_2",0.477734
"10071_8",0.543997
"10072_1",0.394015
"10072_10",0.528678
"10073_3",0.415034
"10073_7",0.425721
"10074_3",0.45244
"10074_7",0.485928
"10075_10",0.537941
"10075_3",0.409334
"10076_10",0.506947
"10076_3",0.389027
"10077_3",0.416103
"10077_7",0.470609
"10078_10",0.511578
"10078_3",0.462059
"10079_1",0.382971
"10079_10",0.486641
"1007_4",0.414678
"1007_9",0.53046
"10080_1",0.421446
"10080_10",0.540078
"10081_1",0.458497
"10081_10",0.486284
"10082_1",0.387246
"10082_8",0.542928
"10083_10",0.486284
"10083_2",0.455647
"10084_10",0.520485
"10084_3",0.428928
"10085_10",0.47524
"10085_2",0.404703
"10086_1",0.463484
"10086_10",0.474884
"10087_1",0.396509
"10087_7",0.441397
"10088_1",0.420021
"10088_8",0.491984
"10089_1",0.437478
"10089_9",0.563947
"1008_10",0.438903
"1008_2",0.464553
"10090_10",0.546847
"10090_3",0.43534
"10091_1",0.442822
"10091_10",0.470253
"10092_4",0.386534
"10092_8",0.469184
"10093_1",0.402209
"10093_10",0.522978
"10094_4",0.452797
"10094_9",0.568222
"10095_3",0.433915
"10095_9",0.489134
"10096_1",0.400428
"10096_9",0.551122
"10097_10",0.540435
"10097_2",0.445672
"10098_1",0.40969
"10098_9",0.491628
"10099_4",0.425721
"10099_9",0.531885
"1009_3",0.403634
"1009_8",0.517278
"100_10",0.512291
"100_4",0.449947
"10100_10",0.539366
"10100_3",0.488066
"10101_4",0.416815
"10101_9",0.53331
"10102_2",0.494122
"10102_8",0.521197
"10103_1",0.354827
"10103_9",0.444603
"10104_1",0.346277
"10104_10",0.55326
"10105_3",0.272889
"10105_8",0.434628
"10106_1",0.393302
"10106_10",0.447453
"10107_2",0.377984
"10107_9",0.489847
"10108_1",0.427503
"10108_8",0.584254
"10109_1",0.415746
"10109_10",0.584966
"1010_1",0.38689
"1010_9",0.537941
"10110_1",0.429996
"10110_10",0.492697
"10111_1",0.322408
"10111_10",0.549341
"10112_1",0.420734
"10112_10",0.54756
"10113_1",0.451015
"10113_9",0.555753
"10114_2",0.400428
"10114_8",0.485928
"10115_1",0.378696
"10115_8",0.499822
"10116_1",0.323833
"10116_10",0.501603
"10117_1",0.274314
"10117_9",0.503028
"10118_1",0.354827
"10118_8",0.58461
"10119_1",0.459565
"10119_10",0.522978
"1011_4",0.46099
"1011_8",0.492697
