"id","sentiment"
"0_10",0.498806
"0_2",0.451382
"10000_4",0.46537
"10000_7",0.601501
"10001_1",0.378369
"10001_9",0.544524
"10002_3",0.466735
"10002_8",0.568066
"10003_3",0.494712
"10003_8",0.597066
"10004_2",0.439099
"10004_9",0.570795
"10005_2",0.438076
"10005_8",0.565336
"10006_2",0.41317
"10006_7",0.499488
"10007_10",0.556124
"10007_4",0.43944
"10008_4",0.470488
"10008_8",0.688161
"10009_10",0.528489
"10009_3",0.440805
"1000_3",0.507335
"1000_9",0.529853
"10010_2",0.472876
"10010_9",0.56636
"10011_1",0.426476
"10011_9",0.565336
"10012_1",0.349028
"10012_9",0.475264
"10013_4",0.47117
"10013_9",0.488229
"10014_2",0.470147
"10014_7",0.512112
"10015_4",0.432276
"10015_8",0.544865
"10016_3",0.433982
"10016_8",0.552371
"10017_1",0.498123
"10017_8",0.4971
"10018_1",0.482429
"10018_8",0.471511
"10019_1",0.340498
"10019_8",0.576254
"1001_10",0.567042
"1001_4",0.443193
"10020_1",0.474241
"10020_8",0.522006
"10021_3",0.444899
"10021_9",0.517912
"10022_10",0.570454
"10022_4",0.412828
"10023_4",0.477653
"10023_8",0.518594
"10024_3",0.338451
"10024_9",0.457864
"10025_2",0.297509
"10025_8",0.556465
"10026_10",0.447629
"10026_3",0.455817
"10027_1",0.432958
"10027_8",0.503582
"10028_10",0.544865
"10028_3",0.455476
"10029_1",0.296486
"10029_10",0.548959
"1002_3",0.442511
"1002_9",0.529853
"10030_3",0.443193
"10030_7",0.490618
"10031_2",0.391334
"10031_8",0.500512
"10032_1",0.374616
"10032_8",0.502559
"10033_1",0.419993
"10033_8",0.541453
"10034_1",0.426134
"10034_9",0.481747
"10035_1",0.413511
"10035_10",0.527124
"10036_1",0.380757
"10036_10",0.539748
"10037_1",0.425111
"10037_7",0.608325
"10038_4",0.406687
"10038_7",0.413852
"10039_1",0.402252
"10039_8",0.481406
"1003_4",0.501876
"1003_8",0.495053
"10040_10",0.538383
"10040_2",0.473217
"10041_1",0.199591
"10041_8",0.5261
"10042_1",0.438417
"10042_8",0.542477
"10043_1",0.499147
"10043_10",0.574548
