"id","sentiment"
"0_10",0.575025
"0_2",0.52568
"10000_4",0.49144
"10000_7",0.626385
"10001_1",0.425982
"10001_9",0.547163
"10002_3",0.495468
"10002_8",0.584424
"10003_3",0.528365
"10003_8",0.59718
"10004_2",0.454851
"10004_9",0.58241
"10005_2",0.483048
"10005_8",0.539778
"10006_2",0.417254
"10006_7",0.559584
"10007_10",0.58476
"10007_4",0.468614
"10008_4",0.470963
"10008_8",0.70292
"10009_10",0.612957
"10009_3",0.492783
"1000_3",0.533736
"1000_9",0.555556
"10010_2",0.499496
"10010_9",0.621685
"10011_1",0.467942
"10011_9",0.594495
"10012_1",0.372273
"10012_9",0.515609
"10013_4",0.497818
"10013_9",0.553206
"10014_2",0.522323
"10014_7",0.526351
"10015_4",0.47667
"10015_8",0.503189
"10016_3",0.505874
"10016_8",0.567976
"10017_1",0.505539
"10017_8",0.519637
"10018_1",0.514602
"10018_8",0.517288
"10019_1",0.390064
"10019_8",0.620007
"1001_10",0.606244
"1001_4",0.451494
"10020_1",0.480027
"10020_8",0.562605
"10021_3",0.494461
"10021_9",0.549178
"10022_10",0.595166
"10022_4",0.448808
"10023_4",0.50386
"10023_8",0.562941
"10024_3",0.403827
"10024_9",0.527022
"10025_2",0.359181
"10025_8",0.56529
"10026_10",0.578718
"10026_3",0.50386
"10027_1",0.463243
"10027_8",0.581067
"10028_10",0.598187
"10028_3",0.491104
"10029_1",0.360859
"10029_10",0.602887
"1002_3",0.479355
"1002_9",0.555556
"10030_3",0.492111
"10030_7",0.52568
"10031_2",0.415576
"10031_8",0.578718
"10032_1",0.437059
"10032_8",0.585431
"10033_1",0.45955
"10033_8",0.575697
"10034_1",0.479691
"10034_9",0.546828
"10035_1",0.464921
"10035_10",0.547835
"10036_1",0.405841
"10036_10",0.571668
"10037_1",0.487412
"10037_7",0.639476
"10038_4",0.423968
"10038_7",0.457872
"10039_1",0.401141
"10039_8",0.508896
"1003_4",0.52803
"1003_8",0.520644
"10040_10",0.584089
"10040_2",0.477341
"10041_1",0.289359
"10041_8",0.573347
"10042_1",0.44713
"10042_8",0.542464
"10043_1",0.495468
"10043_10",0.617993
"10044_2",0.451494
"10044_8",0.570326
"10045_1",0.441423
"10045_7",0.563612
"10046_10",0.519302
"10046_4",0.513595
"10047_1",0.44713
"10047_10",0.615979
"10048_1",0.451829
"10048_8",0.593152
"10049_1",0.438738
"10049_8",0.501511
"1004_10",0.762336
"1004_4",0.55287
"10050_4",0.591809
"10050_8",0.56999
"10051_2",0.480363
"10051_8",0.633098
"10052_4",0.376301
"10052_7",0.571333
"10053_10",0.583753
"10053_4",0.530715
"10054_3",0.494126
"10054_7",0.57469
"10055_1",0.483719
"10055_10",0.557905
"10056_1",0.524337
"10056_8",0.593152
"10057_1",0.468278
"10057_8",0.556563
"10058_2",0.529037
"10058_8",0.540785
"10059_1",0.50386
"10059_10",0.562941
"1005_2",0.453508
"1005_7",0.52098
"10060_10",0.557234
"10060_3",0.477677
"10061_10",0.591809
"10061_4",0.505539
"10062_4",0.44713
"10062_9",0.507889
"10063_1",0.460222
"10063_10",0.562941
"10064_10",0.548842
"10064_2",0.507217
"10065_1",0.411212
"10065_8",0.620342
"10066_1",0.522323
"10066_7",0.477341
"10067_4",0.438738
"10067_7",0.570661
"10068_3",0.509903
"10068_8",0.640148
"10069_10",0.583082
"10069_3",0.488419
"1006_3",0.47197
"1006_8",0.536757
"10070_10",0.550856
"10070_3",0.481705
"10071_2",0.498825
"10071_8",0.64384
"10072_1",0.477341
"10072_10",0.60423
"10073_3",0.487748
"10073_7",0.467271
"10074_3",0.538771
"10074_7",0.58476
"10075_10",0.601544
"10075_3",0.426989
"10076_10",0.563948
"10076_3",0.455858
"10077_3",0.439074
"10077_7",0.54045
"10078_10",0.58006
"10078_3",0.492111
"10079_1",0.453508
"10079_10",0.538771
"1007_4",0.500168
"1007_9",0.570997
"10080_1",0.453508
"10080_10",0.628063
"10081_1",0.500504
"10081_10",0.518295
"10082_1",0.41524
"10082_8",0.550856
"10083_10",0.554549
"10083_2",0.526687
"10084_10",0.592481
"10084_3",0.480363
"10085_10",0.577039
"10085_2",0.498154
"10086_1",0.511581
"10086_10",0.5381
"10087_1",0.474992
"10087_7",0.538436
"10088_1",0.467271
"10088_8",0.542464
"10089_1",0.502182
"10089_9",0.661967
"1008_10",0.522323
"1008_2",0.518295
"10090_10",0.622021
"10090_3",0.486741
"10091_1",0.478684
"10091_10",0.541457
"10092_4",0.419268
"10092_8",0.530044
"10093_1",0.46425
"10093_10",0.616986
"10094_4",0.495468
