"id","sentiment"
"0_10",0.583207
"0_2",0.505628
"10000_4",0.475814
"10000_7",0.672954
"10001_1",0.381503
"10001_9",0.557651
"10002_3",0.533921
"10002_8",0.592638
"10003_3",0.543961
"10003_8",0.638272
"10004_2",0.464862
"10004_9",0.637055
"10005_2",0.51658
"10005_8",0.557347
"10006_2",0.390934
"10006_7",0.542744
"10007_10",0.629754
"10007_4",0.470338
"10008_4",0.509583
"10008_8",0.65896
"10009_10",0.59355
"10009_3",0.480986
"1000_3",0.547916
"1000_9",0.575601
"10010_2",0.502282
"10010_9",0.608762
"10011_1",0.452084
"10011_9",0.593246
"10012_1",0.371159
"10012_9",0.521448
"10013_4",0.523578
"10013_9",0.57408
"10014_2",0.506541
"10014_7",0.559781
"10015_4",0.50289
"10015_8",0.599331
"10016_3",0.491634
"10016_8",0.574992
"10017_1",0.523274
"10017_8",0.560085
"10018_1",0.544569
"10018_8",0.530575
"10019_1",0.393368
"10019_8",0.623669
"1001_10",0.59781
"1001_4",0.427137
"10020_1",0.496197
"10020_8",0.549741
"10021_3",0.494372
"10021_9",0.567387
"10022_10",0.597201
"10022_4",0.431092
"10023_4",0.557651
"10023_8",0.559173
"10024_3",0.379982
"10024_9",0.522057
"10025_2",0.372072
"10025_8",0.58564
"10026_10",0.613934
"10026_3",0.491025
"10027_1",0.501369
"10027_8",0.609979
"10028_10",0.6115
"10028_3",0.463949
"10029_1",0.276544
"10029_10",0.616063
"1002_3",0.479769
"1002_9",0.575601
"10030_3",0.516276
"10030_7",0.553696
"10031_2",0.482203
"10031_8",0.574992
"10032_1",0.447521
"10032_8",0.559781
"10033_1",0.476422
"10033_8",0.566474
"10034_1",0.432005
"10034_9",0.617889
"10035_1",0.42592
"10035_10",0.591117
"10036_1",0.439915
"10036_10",0.594767
"10037_1",0.480377
"10037_7",0.64101
"10038_4",0.433222
"10038_7",0.401582
"10039_1",0.417098
"10039_8",0.526316
"1003_4",0.536051
"1003_8",0.541223
"10040_10",0.547308
"10040_2",0.521144
"10041_1",0.225434
"10041_8",0.557651
"10042_1",0.469121
"10042_8",0.583207
"10043_1",0.531488
"10043_10",0.606328
"10044_2",0.449954
"10044_8",0.566474
"10045_1",0.450259
"10045_7",0.584119
"10046_10",0.515668
"10046_4",0.516276
"10047_1",0.431092
"10047_10",0.623973
"10048_1",0.461515
"10048_8",0.59568
"10049_1",0.455735
"10049_8",0.631275
"1004_10",0.767873
"1004_4",0.562823
"10050_4",0.573471
"10050_8",0.550654
"10051_2",0.502586
"10051_8",0.612108
"10052_4",0.400669
"10052_7",0.606024
"10053_10",0.563127
"10053_4",0.51293
"10054_3",0.527533
"10054_7",0.554609
"10055_1",0.477335
"10055_10",0.560998
"10056_1",0.527533
"10056_8",0.594767
"10057_1",0.448129
"10057_8",0.570733
"10058_2",0.506845
"10058_8",0.577426
"10059_1",0.502586
"10059_10",0.549133
"1005_2",0.460907
"1005_7",0.567387
"10060_10",0.567691
"10060_3",0.471859
"10061_10",0.566474
"10061_4",0.489504
"10062_4",0.434743
"10062_9",0.515364
"10063_1",0.467295
"10063_10",0.57195
"10064_10",0.574992
"10064_2",0.520231
"10065_1",0.403712
"10065_8",0.611196
"10066_1",0.532705
"10066_7",0.469425
"10067_4",0.421965
"10067_7",0.594159
"10068_3",0.456343
"10068_8",0.618497
"10069_10",0.554001
"10069_3",0.511104
"1006_3",0.458473
"1006_8",0.548524
"10070_10",0.580469
"10070_3",0.486462
"10071_2",0.513234
"10071_8",0.646182
"10072_1",0.470338
"10072_10",0.60146
"10073_3",0.493763
"10073_7",0.491938
"10074_3",0.52662
"10074_7",0.577122
"10075_10",0.589595
"10075_3",0.445999
"10076_10",0.594767
"10076_3",0.416185
"10077_3",0.457256
"10077_7",0.552479
"10078_10",0.583207
"10078_3",0.485549
"10079_1",0.442349
"10079_10",0.548524
"1007_4",0.517189
"1007_9",0.591421
"10080_1",0.473684
"10080_10",0.624277
"10081_1",0.508062
"10081_10",0.557347
"10082_1",0.42592
"10082_8",0.576209
"10083_10",0.551567
"10083_2",0.514451
"10084_10",0.6115
"10084_3",0.485853
"10085_10",0.570733
"10085_2",0.470338
"10086_1",0.493155
"10086_10",0.560998
"10087_1",0.494068
"10087_7",0.550046
"10088_1",0.471859
"10088_8",0.577122
"10089_1",0.505628
"10089_9",0.693033
"1008_10",0.521144
"1008_2",0.522361
"10090_10",0.577122
"10090_3",0.482203
"10091_1",0.510496
"10091_10",0.552175
"10092_4",0.465166
"10092_8",0.528445
"10093_1",0.473684
"10093_10",0.595071
"10094_4",0.518406
"10094_9",0.660176
"10095_3",0.530879
"10095_9",0.582294
"10096_1",0.44387
"10096_9",0.62732
"10097_10",0.665653
"10097_2",0.476422
"10098_1",0.474597
"10098_9",0.569821
"10099_4",0.5108
"10099_9",0.560998
"1009_3",0.477031
"1009_8",0.613325
"100_10",0.627016
"100_4",0.518406
"10100_10",0.588378
"10100_3",0.550046
"10101_4",0.482203
"10101_9",0.622148
"10102_2",0.535747
"10102_8",0.597201
"10103_1",0.435047
"10103_9",0.597505
"10104_1",0.372984
"10104_10",0.615151
"10105_3",0.340128
"10105_8",0.561302
"10106_1",0.470946
"10106_10",0.523882
"10107_2",0.435351
"10107_9",0.547916
"10108_1",0.443566
"10108_8",0.64314
"10109_1",0.450563
"10109_10",0.672954
"1010_1",0.470642
"1010_9",0.633404
"10110_1",0.460602
"10110_10",0.561302
"10111_1",0.300578
"10111_10",0.603286
"10112_1",0.491329
"10112_10",0.657438
"10113_1",0.462732
"10113_9",0.647399
"10114_2",0.467295
"10114_8",0.563432
"10115_1",0.474597
"10115_8",0.552175
"10116_1",0.389109
"10116_10",0.575601
"10117_1",0.386979
"10117_9",0.562215
"10118_1",0.39428
"10118_8",0.641314
"10119_1",0.504411
"10119_10",0.592638
"1011_4",0.519014
"1011_8",0.537268
"10120_1",0.326437
"10120_10",0.562215
"10121_1",0.518406
"10121_10",0.592942
"10122_10",0.580164
"10122_2",0.465166
"10123_10",0.623365
"10123_4",0.538485
"10124_3",0.553392
"10124_8",0.730758
"10125_4",0.509887
"10125_8",0.554305
"10126_4",0.545482
"10126_9",0.620931
"10127_10",0.57773
"10127_2",0.435047
"10128_1",0.456952
"10128_10",0.619106
"10129_10",0.508671
"10129_2",0.407058
"1012_1",0.529358
"1012_8",0.489808
"10130_2",0.501673
"10130_8",0.631579
"10131_3",0.508062
"10131_7",0.703985
"10132_10",0.559477
"10132_3",0.468208
"10133_4",0.357165
"10133_8",0.576514
"10134_4",0.521144
"10134_7",0.614238
"10135_3",0.419531
"10135_8",0.637055
"10136_1",0.400365
"10136_10",0.57986
"10137_10",0.578643
"10137_2",0.516885
"10138_10",0.576209
"10138_2",0.439002
"10139_1",0.485549
"10139_10",0.497718
"1013_1",0.55035
"1013_7",0.524795
"10140_1",0.44174
"10140_10",0.549741
"10141_1",0.503194
"10141_8",0.51658
"10142_10",0.552175
"10142_3",0.489504
"10143_3",0.375418
"10143_9",0.569821
"10144_1",0.528445
"10144_8",0.679343
"10145_1",0.442653
"10145_8",0.560694
"10146_1",0.557347
"10146_10",0.612717
"10147_1",0.312139
"10147_7",0.552784
"10148_1",0.482811
"10148_10",0.686949
"10149_1",0.440219
"10149_9",0.607241
"1014_4",0.412838
"1014_8",0.485245
"10150_2",0.526316
"10150_8",0.665044
"10151_1",0.482203
"10151_8",0.544874
"10152_1",0.446304
