"id","sentiment"
"0_10",0.530208
"0_2",0.470833
"10000_4",0.454167
"10000_7",0.734375
"10001_1",0.408333
"10001_9",0.525
"10002_3",0.483333
"10002_8",0.597917
"10003_3",0.523958
"10003_8",0.577083
"10004_2",0.471875
"10004_9",0.597917
"10005_2",0.48125
"10005_8",0.503125
"10006_2",0.465625
"10006_7",0.542708
"10007_10",0.584375
"10007_4",0.422917
"10008_4",0.49375
"10008_8",0.721875
"10009_10",0.546875
"10009_3",0.446875
"1000_3",0.454167
"1000_9",0.56875
"10010_2",0.466667
"10010_9",0.558333
"10011_1",0.448958
"10011_9",0.567708
"10012_1",0.369792
"10012_9",0.548958
"10013_4",0.423958
"10013_9",0.472917
"10014_2",0.519792
"10014_7",0.547917
"10015_4",0.466667
"10015_8",0.6125
"10016_3",0.5125
"10016_8",0.577083
"10017_1",0.490625
"10017_8",0.494792
"10018_1",0.545833
"10018_8",0.494792
"10019_1",0.388542
"10019_8",0.653125
"1001_10",0.60625
"1001_4",0.428125
"10020_1",0.477083
"10020_8",0.542708
"10021_3",0.486458
"10021_9",0.5625
"10022_10",0.645833
"10022_4",0.447917
"10023_4",0.483333
"10023_8",0.579167
"10024_3",0.272917
"10024_9",0.501042
"10025_2",0.371875
"10025_8",0.575
"10026_10",0.686458
"10026_3",0.470833
"10027_1",0.458333
"10027_8",0.59375
"10028_10",0.614583
"10028_3",0.466667
"10029_1",0.376042
"10029_10",0.626042
"1002_3",0.440625
"1002_9",0.56875
"10030_3",0.452083
"10030_7",0.579167
"10031_2",0.45625
"10031_8",0.739583
"10032_1",0.376042
"10032_8",0.572917
"10033_1",0.472917
"10033_8",0.586458
"10034_1",0.345833
"10034_9",0.6
"10035_1",0.4125
"10035_10",0.539583
"10036_1",0.453125
"10036_10",0.580208
"10037_1",0.435417
"10037_7",0.572917
"10038_4",0.41875
"10038_7",0.514583
"10039_1",0.370833
"10039_8",0.510417
"1003_4",0.554167
"1003_8",0.551042
"10040_10",0.564583
"10040_2",0.511458
"10041_1",0.182292
"10041_8",0.536458
"10042_1",0.451042
"10042_8",0.573958
"10043_1",0.558333
"10043_10",0.647917
"10044_2",0.479167
"10044_8",0.589583
"10045_1",0.453125
"10045_7",0.58125
"10046_10",0.51875
"10046_4",0.495833
"10047_1",0.369792
"10047_10",0.586458
"10048_1",0.490625
"10048_8",0.610417
"10049_1",0.451042
"10049_8",0.678125
"1004_10",0.7875
"1004_4",0.508333
"10050_4",0.677083
"10050_8",0.567708
"10051_2",0.494792
"10051_8",0.592708
"10052_4",0.415625
"10052_7",0.567708
"10053_10",0.570833
"10053_4",0.527083
"10054_3",0.533333
"10054_7",0.55
"10055_1",0.483333
"10055_10",0.492708
"10056_1",0.5125
"10056_8",0.553125
"10057_1",0.432292
"10057_8",0.530208
"10058_2",0.502083
"10058_8",0.508333
"10059_1",0.46875
"10059_10",0.533333
"1005_2",0.535417
"1005_7",0.4875
"10060_10",0.547917
"10060_3",0.430208
"10061_10",0.565625
"10061_4",0.373958
"10062_4",0.4
"10062_9",0.490625
"10063_1",0.460417
"10063_10",0.563542
"10064_10",0.533333
"10064_2",0.478125
"10065_1",0.515625
"10065_8",0.607292
"10066_1",0.505208
"10066_7",0.448958
"10067_4",0.554167
"10067_7",0.59375
"10068_3",0.421875
"10068_8",0.572917
"10069_10",0.6
"10069_3",0.448958
"1006_3",0.452083
"1006_8",0.28125
"10070_10",0.534375
"10070_3",0.475
"10071_2",0.492708
"10071_8",0.639583
"10072_1",0.45625
"10072_10",0.622917
"10073_3",0.480208
"10073_7",0.496875
"10074_3",0.548958
"10074_7",0.553125
"10075_10",0.571875
"10075_3",0.439583
"10076_10",0.573958
"10076_3",0.441667
"10077_3",0.476042
"10077_7",0.523958
"10078_10",0.539583
"10078_3",0.476042
"10079_1",0.442708
"10079_10",0.526042
"1007_4",0.442708
"1007_9",0.583333
"10080_1",0.454167
"10080_10",0.632292
"10081_1",0.478125
"10081_10",0.475
"10082_1",0.394792
"10082_8",0.546875
"10083_10",0.561458
"10083_2",0.496875
"10084_10",0.579167
"10084_3",0.505208
"10085_10",0.569792
"10085_2",0.49375
"10086_1",0.521875
"10086_10",0.478125
"10087_1",0.436458
"10087_7",0.460417
"10088_1",0.4375
"10088_8",0.541667
"10089_1",0.503125
"10089_9",0.617708
"1008_10",0.507292
"1008_2",0.475
"10090_10",0.538542
"10090_3",0.502083
"10091_1",0.491667
"10091_10",0.563542
"10092_4",0.419792
"10092_8",0.534375
"10093_1",0.45625
"10093_10",0.569792
"10094_4",0.5125
"10094_9",0.520833
"10095_3",0.514583
"10095_9",0.559375
"10096_1",0.478125
"10096_9",0.605208
"10097_10",0.6875
"10097_2",0.451042
"10098_1",0.460417
"10098_9",0.563542
"10099_4",0.548958
"10099_9",0.590625
"1009_3",0.517708
"1009_8",0.542708
"100_10",0.585417
"100_4",0.515625
"10100_10",0.534375
"10100_3",0.496875
"10101_4",0.470833
"10101_9",0.607292
"10102_2",0.50625
"10102_8",0.566667
"10103_1",0.421875
"10103_9",0.511458
"10104_1",0.4125
"10104_10",0.571875
"10105_3",0.29375
"10105_8",0.416667
"10106_1",0.430208
"10106_10",0.525
"10107_2",0.439583
"10107_9",0.56875
"10108_1",0.445833
"10108_8",0.675
"10109_1",0.454167
"10109_10",0.655208
"1010_1",0.363542
"1010_9",0.602083
"10110_1",0.516667
"10110_10",0.525
"10111_1",0.284375
"10111_10",0.589583
"10112_1",0.486458
"10112_10",0.614583
"10113_1",0.423958
"10113_9",0.575
"10114_2",0.452083
"10114_8",0.604167
"10115_1",0.432292
"10115_8",0.561458
"10116_1",0.36875
"10116_10",0.558333
"10117_1",0.405208
"10117_9",0.544792
"10118_1",0.35625
"10118_8",0.555208
"10119_1",0.507292
"10119_10",0.582292
"1011_4",0.484375
"1011_8",0.510417
"10120_1",0.242708
"10120_10",0.525
"10121_1",0.4875
"10121_10",0.548958
"10122_10",0.517708
"10122_2",0.471875
"10123_10",0.570833
"10123_4",0.480208
"10124_3",0.5625
"10124_8",0.728125
"10125_4",0.515625
"10125_8",0.532292
"10126_4",0.526042
"10126_9",0.605208
"10127_10",0.564583
"10127_2",0.45625
"10128_1",0.426042
"10128_10",0.589583
"10129_10",0.640625
"10129_2",0.457292
"1012_1",0.497917
"1012_8",0.435417
"10130_2",0.522917
"10130_8",0.579167
"10131_3",0.444792
"10131_7",0.759375
"10132_10",0.583333
