"id","sentiment"
"12311_10",0.593756
"8348_2",0.436142
"5828_4",0.500615
"7186_2",0.495519
"12128_7",0.557294
"2913_8",0.536253
"4396_1",0.459437
"395_2",0.491426
"10616_1",0.317601
"9074_9",0.50692
"9252_3",0.505417
"9896_9",0.517719
"574_4",0.445537
"11182_8",0.580323
"11656_4",0.498573
"2322_4",0.521748
"8703_1",0.475617
"7483_1",0.487259
"6007_10",0.554084
"12424_4",0.473252
"4672_1",0.433219
"10841_3",0.382324
"8954_7",0.459397
"7392_1",0.474158
"10288_8",0.567977
"5343_4",0.406299
"4950_1",0.370621
"9257_4",0.499423
"8689_3",0.465881
"4480_2",0.484014
"9286_10",0.516311
"12245_10",0.627934
"7529_7",0.500454
"4_4",0.479414
"5299_2",0.436195
"12077_8",0.524282
"10701_2",0.407628
"11579_1",0.37495
"10993_1",0.44511
"8913_1",0.434266
"1350_3",0.492089
"3804_2",0.428047
"5025_3",0.518622
"5170_8",0.516535
"8225_8",0.568953
"6427_7",0.531281
"3165_3",0.510551
"7902_9",0.604722
"8208_3",0.403048
"3577_8",0.552301
"4865_1",0.418566
"9063_3",0.511071
"1106_1",0.471739
"1117_9",0.580128
"1050_4",0.543677
"10755_9",0.539484
"2729_8",0.535194
"10072_10",0.546517
"2904_7",0.598229
"4584_2",0.538114
"189_4",0.493681
"6302_4",0.502104
"8138_9",0.502007
"1262_1",0.427671
"2199_10",0.582298
"6551_7",0.512931
"8082_7",0.485694
"4897_8",0.578235
"7360_1",0.457838
"11012_10",0.586065
"12046_1",0.506749
"2331_2",0.503909
"8961_9",0.533753
"751_7",0.519015
"9884_10",0.539327
"10016_8",0.530193
"8023_10",0.505622
"2628_1",0.434719
"5832_1",0.432819
"7302_1",0.459313
"4501_3",0.473715
"1121_7",0.508147
"8334_3",0.489779
"9789_10",0.452367
"4230_10",0.584136
"824_4",0.469018
"6803_9",0.565112
"3086_7",0.612562
"1135_8",0.517108
"10136_1",0.403054
"11129_3",0.458976
"2072_8",0.544199
"9501_7",0.560253
"319_10",0.514228
"1693_7",0.569143
"10886_1",0.430321
"9406_8",0.530885
"10376_10",0.454006
"9902_1",0.398075
"9938_8",0.500036
"7080_9",0.528457
"11944_8",0.475375
"5249_1",0.421927
"9599_2",0.490182
"9620_1",0.449321
"11244_1",0.482566
"6841_10",0.599503
"10050_4",0.566506
"10512_9",0.59351
"11327_3",0.462146
"10681_8",0.498252
"808_3",0.506344
"546_7",0.595631
"10765_1",0.41698
"7189_9",0.507843
"6005_9",0.550862
"11915_9",0.550326
"5740_10",0.4885
"7097_10",0.461119
"9573_10",0.537332
"5084_4",0.506329
"12332_7",0.497405
"8154_1",0.399727
"5610_1",0.505383
"5323_9",0.528084
"11034_8",0.531845
"3977_2",0.506555
"12380_7",0.486219
"1737_8",0.52725
"6030_9",0.526771
"5918_7",0.52878
"7061_9",0.517413
"266_8",0.530561
"1375_10",0.530547
"8648_3",0.454885
"10146_10",0.582425
"4578_10",0.532781
"4685_8",0.528417
"11843_9",0.545963
"5467_10",0.593674
"10140_10",0.536329
"7721_8",0.561988
"11208_10",0.486677
"1063_10",0.534883
"8260_10",0.498647
"3182_9",0.565776
