"id","sentiment"
"12311_10",0.580571
"8348_2",0.433059
"5828_4",0.503187
"7186_2",0.484674
"12128_7",0.571548
"2913_8",0.558422
"4396_1",0.445612
"395_2",0.47648
"10616_1",0.313465
"9074_9",0.481639
"9252_3",0.309256
"9896_9",0.508346
"574_4",0.454127
"11182_8",0.587746
"11656_4",0.516844
"2322_4",0.466768
"8703_1",0.490137
"7483_1",0.469922
"6007_10",0.549695
"12424_4",0.412921
"4672_1",0.425983
"10841_3",0.409482
"8954_7",0.470691
"7392_1",0.423065
"10288_8",0.568378
"5343_4",0.417757
"4950_1",0.3472
"9257_4",0.485888
"8689_3",0.42551
"4480_2",0.410926
"9286_10",0.544461
"12245_10",0.608644
"7529_7",0.524734
"4_4",0.409105
"5299_2",0.423398
"12077_8",0.515023
"10701_2",0.397036
"11579_1",0.369756
"10993_1",0.424366
"8913_1",0.43497
"1350_3",0.461002
"3804_2",0.393916
"5025_3",0.500152
"5170_8",0.489226
"8225_8",0.570594
"6427_7",0.55618
"3165_3",0.484067
"7902_9",0.574194
"8208_3",0.397536
"3577_8",0.574286
"4865_1",0.418712
"9063_3",0.474052
"1106_1",0.488005
"1117_9",0.572807
"1050_4",0.47648
"10755_9",0.504704
"2729_8",0.541426
"10072_10",0.566996
"2904_7",0.581187
"4584_2",0.530871
"189_4",0.47132
"6302_4",0.459181
"8138_9",0.514416
"1262_1",0.480121
"2199_10",0.585137
"6551_7",0.530197
"8082_7",0.464036
"4897_8",0.568026
"7360_1",0.358047
"11012_10",0.583102
"12046_1",0.462215
"2331_2",0.485888
"8961_9",0.559082
"751_7",0.557815
"9884_10",0.524431
"10016_8",0.529287
"8023_10",0.54871
"2628_1",0.403584
"5832_1",0.435798
"7302_1",0.425717
"4501_3",0.419423
"1121_7",0.586646
"8334_3",0.505615
"9789_10",0.474962
"4230_10",0.525921
"824_4",0.448862
"6803_9",0.562707
"3086_7",0.593651
"1135_8",0.539605
"10136_1",0.395015
"11129_3",0.429219
"2072_8",0.476176
"9501_7",0.57072
"319_10",0.597876
"1693_7",0.570461
"10886_1",0.409961
"9406_8",0.536267
"10376_10",0.469705
"9902_1",0.41052
"9938_8",0.486191
"7080_9",0.535972
"11944_8",0.52352
"5249_1",0.400941
"9599_2",0.491351
"9620_1",0.467389
"11244_1",0.359332
"6841_10",0.593939
"10050_4",0.56368
"10512_9",0.580071
"11327_3",0.422319
"10681_8",0.587557
"808_3",0.437026
"546_7",0.600221
"10765_1",0.399526
"7189_9",0.504097
"6005_9",0.593836
"11915_9",0.545574
"5740_10",0.532018
"7097_10",0.48437
"9573_10",0.497117
"5084_4",0.471624
"12332_7",0.51654
"8154_1",0.386288
"5610_1",0.454325
"5323_9",0.542944
"11034_8",0.56692
"3977_2",0.47739
"12380_7",0.454325
"1737_8",0.495296
"6030_9",0.50349
"5918_7",0.525038
"7061_9",0.497724
"266_8",0.532103
"1375_10",0.609105
"8648_3",0.399096
"10146_10",0.582865
"4578_10",0.581814
"4685_8",0.563885
"11843_9",0.531883
"5467_10",0.592918
"10140_10",0.539302
"7721_8",0.578547
"11208_10",0.472838
"1063_10",0.565402
"8260_10",0.491654
"3182_9",0.580962
"2797_8",0.51868
"7613_2",0.508043
"11624_4",0.43271
"4847_10",0.647014
"10684_7",0.493778
"6312_1",0.482549
"4925_3",0.424895
"4125_1",0.398398
"2394_10",0.614286
"12105_10",0.536446
"7812_1",0.40991
"1061_8",0.572069
"9343_3",0.506829
"7696_10",0.602662
"9355_10",0.591714
"782_9",0.587062
"9882_10",0.605635
"10642_10",0.538046
"7410_2",0.396853
"9591_4",0.427083
"11902_3",0.392716
"3495_7",0.41521
"6733_1",0.374121
"4552_1",0.377368
"6722_1",0.418341
"188_10",0.56613
"5099_10",0.57597
"10313_1",0.394683
"6756_9",0.544461
"6622_2",0.427957
"4807_10",0.572659
"7173_3",0.446434
"11321_8",0.511077
